Dataset,Group,Mode,Algorithm,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Time_s,n_samples,n_classes,IR
abalone20,B,cost_sensitive,LGBM,0.9895,0.0023,0.0,0.0,0.103,4177,2,159.65
abalone20,B,cost_sensitive,RFF_binary,0.9938,0.0005,0.0,0.0,0.453,4177,2,159.65
wine4,B,vanilla,LogReg,0.965,0.0023,0.0308,0.0615,0.003,1599,2,29.17
wine4,B,vanilla,Bagging,0.9656,0.0019,0.0533,0.1067,0.201,1599,2,29.17
wine4,B,vanilla,RandomForest,0.9669,0.0015,0.0,0.0,0.157,1599,2,29.17
wine4,B,vanilla,AdaBoost,0.9662,0.0041,0.0364,0.0727,0.074,1599,2,29.17
wine4,B,vanilla,GradBoost,0.9612,0.0042,0.1071,0.0934,0.208,1599,2,29.17
wine4,B,vanilla,Stacking,0.9669,0.0015,0.0,0.0,0.333,1599,2,29.17
wine4,B,vanilla,XGBoost,0.9619,0.0064,0.0,0.0,0.076,1599,2,29.17
wine4,B,vanilla,LGBM,0.9644,0.0042,0.0333,0.0667,0.095,1599,2,29.17
wine4,B,vanilla,RFF_binary,0.9669,0.0015,0.0,0.0,0.112,1599,2,29.17
wine4,B,oversample,LogReg,0.7397,0.0084,0.735,0.0118,0.017,3092,2,29.17
wine4,B,oversample,Bagging,0.9919,0.0035,0.9918,0.0036,0.258,3092,2,29.17
wine4,B,oversample,RandomForest,0.9977,0.0024,0.9977,0.0024,0.208,3092,2,29.17
wine4,B,oversample,AdaBoost,0.838,0.0083,0.8375,0.0082,0.088,3092,2,29.17
wine4,B,oversample,GradBoost,0.9744,0.0059,0.9737,0.0062,0.292,3092,2,29.17
wine4,B,oversample,Stacking,0.9994,0.0008,0.9994,0.0008,1.215,3092,2,29.17
wine4,B,oversample,XGBoost,0.9932,0.0047,0.9931,0.0048,0.087,3092,2,29.17
wine4,B,oversample,LGBM,0.9948,0.0041,0.9948,0.0042,0.112,3092,2,29.17
wine4,B,oversample,RFF_binary,0.6129,0.0621,0.4799,0.2216,0.143,3092,2,29.17
wine4,B,cost_sensitive,LogReg,0.7348,0.0311,0.1421,0.0339,0.004,1599,2,29.17
wine4,B,cost_sensitive,Bagging,0.9656,0.0019,0.0533,0.1067,0.195,1599,2,29.17
wine4,B,cost_sensitive,RandomForest,0.9662,0.0023,0.0,0.0,0.137,1599,2,29.17
wine4,B,cost_sensitive,AdaBoost,0.9662,0.0041,0.0364,0.0727,0.071,1599,2,29.17
wine4,B,cost_sensitive,GradBoost,0.9612,0.0042,0.1071,0.0934,0.199,1599,2,29.17
wine4,B,cost_sensitive,Stacking,0.9669,0.0015,0.0,0.0,0.319,1599,2,29.17
wine4,B,cost_sensitive,XGBoost,0.9619,0.0064,0.0,0.0,0.074,1599,2,29.17
wine4,B,cost_sensitive,LGBM,0.9631,0.0057,0.0854,0.0715,0.103,1599,2,29.17
wine4,B,cost_sensitive,RFF_binary,0.9669,0.0015,0.0,0.0,0.117,1599,2,29.17
yeast6,B,vanilla,LogReg,0.9818,0.0034,0.4315,0.2317,0.003,1484,2,41.4
yeast6,B,vanilla,Bagging,0.9805,0.0039,0.4879,0.1044,0.083,1484,2,41.4
yeast6,B,vanilla,RandomForest,0.9818,0.0016,0.4873,0.0713,0.091,1484,2,41.4
yeast6,B,vanilla,AdaBoost,0.9784,0.0087,0.4764,0.1768,0.052,1484,2,41.4
yeast6,B,vanilla,GradBoost,0.9771,0.0054,0.4279,0.1471,0.112,1484,2,41.4
yeast6,B,vanilla,Stacking,0.9805,0.0045,0.3522,0.221,0.226,1484,2,41.4
yeast6,B,vanilla,XGBoost,0.9751,0.0076,0.4097,0.1255,0.067,1484,2,41.4
yeast6,B,vanilla,LGBM,0.9784,0.0072,0.4714,0.1867,0.102,1484,2,41.4
yeast6,B,vanilla,RFF_binary,0.9764,0.0,0.0,0.0,0.109,1484,2,41.4
yeast6,B,oversample,LogReg,0.883,0.0136,0.8841,0.014,0.003,2898,2,41.4
yeast6,B,oversample,Bagging,0.9928,0.0043,0.9927,0.0044,0.125,2898,2,41.4
yeast6,B,oversample,RandomForest,0.9959,0.0036,0.9958,0.0036,0.131,2898,2,41.4
yeast6,B,oversample,AdaBoost,0.9541,0.0078,0.9533,0.0082,0.064,2898,2,41.4
yeast6,B,oversample,GradBoost,0.989,0.0061,0.9888,0.0063,0.167,2898,2,41.4
yeast6,B,oversample,Stacking,0.9959,0.0032,0.9958,0.0032,0.642,2898,2,41.4
yeast6,B,oversample,XGBoost,0.9931,0.0029,0.993,0.0029,0.062,2898,2,41.4
yeast6,B,oversample,LGBM,0.9941,0.0044,0.9941,0.0045,0.118,2898,2,41.4
yeast6,B,oversample,RFF_binary,0.7816,0.0775,0.7233,0.1229,0.127,2898,2,41.4
yeast6,B,cost_sensitive,LogReg,0.8875,0.0236,0.2711,0.0541,0.003,1484,2,41.4
yeast6,B,cost_sensitive,Bagging,0.9805,0.0039,0.4879,0.1044,0.085,1484,2,41.4
yeast6,B,cost_sensitive,RandomForest,0.9811,0.005,0.4367,0.199,0.09,1484,2,41.4
yeast6,B,cost_sensitive,AdaBoost,0.9784,0.0087,0.4764,0.1768,0.053,1484,2,41.4
yeast6,B,cost_sensitive,GradBoost,0.9771,0.0054,0.4279,0.1471,0.116,1484,2,41.4
yeast6,B,cost_sensitive,Stacking,0.9805,0.0045,0.3522,0.221,0.228,1484,2,41.4
yeast6,B,cost_sensitive,XGBoost,0.9751,0.0076,0.4097,0.1255,0.06,1484,2,41.4
yeast6,B,cost_sensitive,LGBM,0.9778,0.012,0.5354,0.2304,0.1,1484,2,41.4
yeast6,B,cost_sensitive,RFF_binary,0.9764,0.0,0.0,0.0,0.12,1484,2,41.4
autompg,A,vanilla,LogReg,0.8698,0.0287,0.8645,0.0296,0.002,392,2,1.67
autompg,A,vanilla,Bagging,0.9056,0.039,0.8996,0.0411,0.064,392,2,1.67
autompg,A,vanilla,RandomForest,0.903,0.021,0.8981,0.0222,0.077,392,2,1.67
autompg,A,vanilla,AdaBoost,0.8826,0.0221,0.8745,0.0264,0.043,392,2,1.67
autompg,A,vanilla,GradBoost,0.9133,0.0203,0.9085,0.0208,0.073,392,2,1.67
autompg,A,vanilla,Stacking,0.8723,0.0423,0.8641,0.0467,0.173,392,2,1.67
autompg,A,vanilla,XGBoost,0.9362,0.0228,0.9324,0.0234,0.056,392,2,1.67
autompg,A,vanilla,LGBM,0.9159,0.026,0.9115,0.0263,0.057,392,2,1.67
autompg,A,vanilla,RFF_binary,0.625,0.0039,0.3846,0.0015,0.04,392,2,1.67
glass,A,vanilla,LogReg,0.7659,0.0577,0.7232,0.0753,0.005,214,2,2.06
glass,A,vanilla,Bagging,0.8692,0.0234,0.8497,0.0281,0.063,214,2,2.06
glass,A,vanilla,RandomForest,0.8831,0.0334,0.8659,0.0369,0.095,214,2,2.06
glass,A,vanilla,AdaBoost,0.8458,0.0276,0.8217,0.0269,0.046,214,2,2.06
glass,A,vanilla,GradBoost,0.8878,0.0176,0.8711,0.019,0.068,214,2,2.06
glass,A,vanilla,Stacking,0.8317,0.0184,0.7944,0.0288,0.168,214,2,2.06
glass,A,vanilla,XGBoost,0.8878,0.0176,0.8727,0.0165,0.052,214,2,2.06
glass,A,vanilla,LGBM,0.8784,0.0181,0.8613,0.0213,0.03,214,2,2.06
glass,A,vanilla,RFF_binary,0.6729,0.0031,0.4022,0.0011,0.047,214,2,2.06
hayes,B,vanilla,LogReg,0.9091,0.039,0.7646,0.1164,0.001,132,2,3.4
hayes,B,vanilla,Bagging,1.0,0.0,1.0,0.0,0.051,132,2,3.4
hayes,B,vanilla,RandomForest,1.0,0.0,1.0,0.0,0.065,132,2,3.4
hayes,B,vanilla,AdaBoost,1.0,0.0,1.0,0.0,0.036,132,2,3.4
hayes,B,vanilla,GradBoost,1.0,0.0,1.0,0.0,0.038,132,2,3.4
hayes,B,vanilla,Stacking,1.0,0.0,1.0,0.0,0.143,132,2,3.4
hayes,B,vanilla,XGBoost,1.0,0.0,1.0,0.0,0.033,132,2,3.4
hayes,B,vanilla,LGBM,0.8564,0.0545,0.6227,0.1727,0.022,132,2,3.4
hayes,B,vanilla,RFF_binary,0.7726,0.0042,0.0,0.0,0.027,132,2,3.4
hayes,B,oversample,LogReg,0.9022,0.0688,0.8962,0.0808,0.001,204,2,3.4
hayes,B,oversample,Bagging,1.0,0.0,1.0,0.0,0.051,204,2,3.4
hayes,B,oversample,RandomForest,1.0,0.0,1.0,0.0,0.065,204,2,3.4
hayes,B,oversample,AdaBoost,1.0,0.0,1.0,0.0,0.04,204,2,3.4
hayes,B,oversample,GradBoost,1.0,0.0,1.0,0.0,0.039,204,2,3.4
hayes,B,oversample,Stacking,1.0,0.0,1.0,0.0,0.151,204,2,3.4
hayes,B,oversample,XGBoost,1.0,0.0,1.0,0.0,0.033,204,2,3.4
hayes,B,oversample,LGBM,1.0,0.0,1.0,0.0,0.027,204,2,3.4
hayes,B,oversample,RFF_binary,0.8877,0.0627,0.8903,0.0606,0.029,204,2,3.4
hayes,B,cost_sensitive,LogReg,0.9091,0.0183,0.8172,0.0401,0.001,132,2,3.4
hayes,B,cost_sensitive,Bagging,1.0,0.0,1.0,0.0,0.051,132,2,3.4
hayes,B,cost_sensitive,RandomForest,1.0,0.0,1.0,0.0,0.064,132,2,3.4
hayes,B,cost_sensitive,AdaBoost,1.0,0.0,1.0,0.0,0.038,132,2,3.4
hayes,B,cost_sensitive,GradBoost,1.0,0.0,1.0,0.0,0.036,132,2,3.4
hayes,B,cost_sensitive,Stacking,1.0,0.0,1.0,0.0,0.143,132,2,3.4
hayes,B,cost_sensitive,XGBoost,1.0,0.0,1.0,0.0,0.03,132,2,3.4
hayes,B,cost_sensitive,LGBM,1.0,0.0,1.0,0.0,0.039,132,2,3.4
hayes,B,cost_sensitive,RFF_binary,0.7726,0.0042,0.0,0.0,0.035,132,2,3.4
libras,B,vanilla,LogReg,0.9778,0.0111,0.7953,0.1247,0.003,360,2,14.0
libras,B,vanilla,Bagging,0.9583,0.0152,0.569,0.1566,0.314,360,2,14.0
libras,B,vanilla,RandomForest,0.9639,0.0111,0.6143,0.1551,0.115,360,2,14.0
libras,B,vanilla,AdaBoost,0.9778,0.0111,0.7913,0.1212,0.129,360,2,14.0
libras,B,vanilla,GradBoost,0.9722,0.0088,0.7254,0.105,0.544,360,2,14.0
